sku,name,zhongliang,description
nanqu-073,枸杞蜂蜜,,"SAC700 系列为西加云杉推出的业界领先的高性能智能多业务控制
器，采用先进的并行多核多业务处理器，支持灵活丰富的接口扩展，
具备强大的无线数据处理、业务监控、应用分析和设备管理功能；
集成创新性商业和智能无线业务，可广泛应用于智慧城市、商业、
教育、政企各行业。
较之于传统无线控制器， SAC700 系列采用 x86 平台架构，集无线
网络管控、无线用户认证管理、 Portal 内容服务、内置 Radius、数
据采集与汇聚、用户上网行为记录、用户应用识别、行业特色应用
等于一体，是一款高集成、独具特色的多功能无线控制器。"
nanqu-074,纸型金属间化合物膜组件及空气净化器,1.5Kg,newifi新路由3是成都谛听科技股份有限公司于2016年10月28日推出的一款新品智能路由器，外观采用磨砂黑金属外壳和四天线对成分布，独创“凝胶背板匀热散热”科学设计方案，并使用美国skyworks公司的的全外置信号放大器，让信号无死角；搭载USB3.0接口和全千兆网口，让你体验非一般的上网速度；对固件底层进行进一步优化配合专有的“宝石矿场”挖矿功能，让你家的闲置带宽变网费；提供双引擎加速下载，无缝对接电视盒子，让你享受全家的精彩。
nanqu-075,众途盒子（PT8000）,,"物联网水务行业应用案例演示系统
物联网智能配电应用案例演示系统
智能照明演示系统"
nanqu-076,AX300、AX1000、AX1200,,“多商户入驻电商平台系统”是一款专业B2B2C/B2B2B平台系统，可实现平台佣金自动结算、商家订单LBS分配，打造京东、天猫同等级电商平台，为龙头企业行业整合，构建电商生态圈提供技术支撑。
nanqu-077,微推泵,,任我行云流水是整合产业链+互联网的新商业技术平台，为传统企业量身定做可以整合制造商、零售商、消费商、平台商、运营商、物流商、金融机构的电商技术平台系统。
nanqu-078,网络智能音频服务器,,“智慧城市”是一个全国连锁城市O2O生活圈平台，是立足城市或商家联盟微信公众号，服务本地居民衣、食、住、行、玩、乐、购的微信生活圈平台。提供多种商家入驻方式，发布最新、最热商家优惠活动信息以及城市热点关注新闻和粉丝爆料专栏，具备多种清晰可落地的营利方式的第三方服务平台。
nanqu-079,WI3200-80D,,“销售不败”是一款极简好用的销售团队管理工具，实现业绩无忧工作有趣管理轻松。
nanqu-080,WOA5200-80,,基地与传统的孵化器管理模式不同，针对政府、孵化平台、投资机构、入孵团队四大主体的痛点，利用微软技术实现孵化器产业信息化、透明化、智能化的全面管理，充分展示了微软公有云、Dynamics、Project Online与创业孵化领域的完美结合，并希望基于成都云加速基地的孵化管理系统推动成都孵化产业的技术升级。
nanqu-081,SAC700系列,,晓多智能客服机器人，是一款会学习的在线客服机器人软件，基于机器学习和自然语言处理技术，为用户提供专业的在线客服服务。晓多智能客服机器人是国内客服领域最先实现商品化的人工智能产品。目前，产品已累计用户上万家，持续付费用户2000余家，累计产生对话超过9亿次。在无人值守的情况下，晓多机器人售前全自动无人干预成单率高达30%，同时提供24小时在线服务，能提高传统客服效率5倍以上。产品的口号是“1个客服+晓多=5个客服”。
nanqu-082,newifi新路由3,,晓多智能客服机器人，是一款会学习的在线客服机器人软件，基于机器学习和自然语言处理技术，为用户提供专业的在线客服服务。晓多智能客服机器人是国内客服领域最先实现商品化的人工智能产品。目前，产品已累计用户上万家，持续付费用户2000余家，累计产生对话超过9亿次。在无人值守的情况下，晓多机器人售前全自动无人干预成单率高达30%，同时提供24小时在线服务，能提高传统客服效率5倍以上。产品的口号是“1个客服+晓多=5个客服”。
nanqu-083,DthingOS物联网智能终端操作系统及物联网行业解决方案,,Melinked—跨境服务平台。为每个人实现全球无语言障碍的自由服务交易，让天下的服务交易没有语言障碍和欺诈。
nanqu-084,多商户入驻电商平台系统,,
nanqu-085,云流水,,由全资子公司合沐佳成都新材料有限公司研发生产的系列产品，具有节能环保、防火阻燃、防水防潮、质轻抗震、隔音保温等独特优点，解决了建筑、装饰、家具的火灾防护难题，产品通过了国家防火建筑材料质量监督检验中心、建材产品质量监督检验中心的型式检验，燃烧等级、燃烧性能、产品全性能指标等级均达到国家相关标准的要求，产品配方及工艺技术拥有30余项自主知识产权。
nanqu-086,智慧城市,,该系统主要由主监控设备、探测器、传感器及各配套产品组成，采用传感器和微电脑控制技术，研究、检测电气线路上的电气参数变化，对电气线路设卡“检测、监控”，全天候实时监控电气线路设备上的漏电、负载、短路、接触电阻过大、温度、电火花及电弧等的变化情况，具有测量精度高、匹配规格广、通讯方式多等特点，把看不见摸不着的用电情况变成可视的数字化监控，从而把电气火灾消灭在萌芽状态，为有效的保护用电设备、节能降耗、预防电气火灾提供了全面的解决方案。
nanqu-087,销售不败,,"
公司成立后专注于基于BIM(建筑信息模型)的道路桥梁维护管理，已经开发完成iBRMS（intelligent Bridge Road Management System智慧道路桥梁管理信息系统）,含移动端iOS和Android的APP,并成功应用于成都市二环路道路桥梁和天府新区红星路南延线跨府河大桥、世纪城路东延线跨府河大桥。
iRBMS 智慧道路桥梁管理系统的功能和用途：
1、实现数字化交移：制定数字化移交标准，可按照标准进行道路桥梁信息导入；根据道路桥梁实际情况，可以对基础信息进行新增、修改、删除等操作。
2、道路桥梁结构及模型建立：根据设计图、施工图、竣工资料利用三维建模工具绘制道路桥梁的模型并通过业务平台管理模型及构件分层结构，将项目竣工资料与已建成的道路桥梁模型进行准确对应建立“资产信息模型”。主要方便后期管养过程中快速查看，和实际巡查及资产维护。
3、BIM+GIS集成：把微观领域的道路桥梁BIM 信息和宏观领域的 GIS信息进行交换和相互操作，满足查询与分析空间信息，建立“资产地理信息模型”。主要作用为道路桥梁管理通过对模型信息应用改进城市道路桥梁管养业务流程，使信息化系统与管养工作相关业务紧密结合，方便管养工作快速准确定位，提高工作效率，避免道路桥梁健康异常发生。
4、移动端日常巡查管理应用：提供日常巡查的全过程闭环管理，可进行巡查工作安排，并对巡查过程中发现的病害进行记录，并推送病害信息给维修人员进行维修。维修人员对病害进行识别并选择维修方案，按方案进行维修，并将维修结果通过系统上传，进行验收，整体过程确保病害发现到处理的闭环管理。方便病害发生后工作人员快速定义病害类别及维修方案，便于巡查工作即时管理及追溯。
iRBMS（智慧道路桥梁管理系统） 适用范围：适用城市的道路桥梁、隧道铁路、城市地下管廊的整个生命周期管理，从前期建设到后期的管养维护
"
nanqu-088,孵化器创新管理技术,软件,"开发出国内首款“网众验房”APP产品。先后取得“我要验房系统”、“我要监理系统”、“我要装修系统”、“我要设计系统”、“网众商城系统”、“网众拼团系统”、“网众官网系统”、“网众空气检测系统”8项《中华人民共和国国家版权局计算机软件著作权登记证书》。       
“双创未来•成都＆深圳青年创客电视大赛”荣获三等奖。
"
nanqu-089,智能客服机器人,,WR900系列是我司自主研发的4G无线路由器，适用于各种不利于有线网络覆盖环境下的数据回传业务，例如：充电桩，电梯广告屏数据回传，离行ATM机，驾校驾考车等场景。采用4G 高速无线网络作为数据承载网络，为远程设备和站点之间的联网提供安全高速的无线连接。无论身在何处，您的设备都可以借助遍布全球的FDD-LTE/TDD-LTE 或者3G网络快速接入互联网或者企业专用网络。  
nanqu-090,TIMS-FSM（壁厚智能测量系统FSM）,," OS2000-21是由本公司自主研发的，一款高集合度的设备，主要包含三大功能模块。
功能一：采用3G/4G 高速移动通信网络作为数据承载网络，同时支持有线回传方式，提供双频WiFi功能，为用户提供高安全、高体验的互联网服务。
功能二：支持大容量高速扩展存储，内置Web Server，为用户提供丰富的本地内容服务。
功能三：集合播放、存储为一体的高清网络播放器，配合多媒体信息发布系统，可以快速、精确、可控的打造大型可运营的触摸交互的媒体信息传播平台。"
nanqu-091,Melinked跨语言服务交易平台,,"WT1200系列是我司研发的高性价比的路由、WIFI热点接入、播放、存储为一体的高清网络播放器，配合MC8200/8300多媒体信息发布系统，可以快速、精确、可控的打造大型可运营的触摸交互的媒体信息传播平台。
可用于银行、保险、学校、教育、酒店、广告、公交媒体、电子站台、电子报亭、售货亭、企业、政府、影院、展会、营业厅、交通、卫生、零售业等。
"
nanqu-092,iRBMS软易达道路桥梁基础信息管理系统软件,,2016年，传不科技研发并投放市场的楼宇广告平台——传不APP上线。APP提供国内一二线城市电梯广告自助投放。针对位于多个城市的楼宇广告资源，实现楼盘筛选、广告档期选择、广告画面设计、广告内容审查和一键支付等投放功能，遵循统一的定价和反馈方式，让广告主以合理的价格实时预定高质量的广告库存。服务于中小企业、商户和创业公司，为企业品牌成长提供零门槛、平民化的媒体购买渠道。
nanqu-093,网众验房,,"易播网是国内专业的媒介信息查询平台，拥有开放的商用广告数据库，提供全国范围媒体信息上传、查询及下载服务，同时提供完善的广告价值评估服务。
    通过整合传统媒体、户外媒体、网络新媒体资源，构筑媒体资源运营矩阵，实现跨区域、跨媒体类型的广告投放代理，根据品牌需求定制媒体调度方案。同时，eboR媒介监测中心以媒体指数研究为基础，将巨大的广告市场数据化，为政府、媒体公司及品牌主提供市场分析报告及广告投放效果评估，是国内唯一公开数据源的广告数据监测机构。"
nanqu-094,4G路由器系列,小于5斤,别样旅行网包括六大模块：玩家、新玩法、新发现、套餐、定制、我的，主要实现玩家展示（个性、阳光）、新玩法展播（新颖、别样）、单点旅游资源介绍（筛选特色或新奇景点、美食、休闲、酒店、特产类商家）；套餐预订；个性定制；订单查询与跟踪，服务评价与反馈等。
nanqu-095,车载终端,,
nanqu-096,多媒体终端,9.7kg,BOE iGallery是一款集软硬件，平台，内容，服务为一体的云端艺术馆解决方案。iGallery通过手机端App及云端内容平台与自有智能画框绑定，可实现世界艺术作品或自有内容的多屏远程一键推送，智能画框即时显示。
nanqu-097,传不APP—自助楼宇广告平台,OnPOS（SE）4.76Kg,客如云智慧云餐厅多款硬件搭载On Store开放平台、On OS应用系统、On Cloud云端应用，为商家提供涵盖全线效率提升工具、实时互动入口、品牌忠诚度提升及利润管理三大价值的全面解决方案。重新定义未来经营服务业的规则，智能、高效、简单的连接人与服务。客如云新研发推出的自助点餐机系列产品——立式自助一体机OnKiosk Tower和桌面式自助机OnKiosk Table，纯自助的服务形式，大大降低运营与人力成本，平均一台客如云自助点餐机能节省2.5位服务员，是提升您门店效率的又一利器。
nanqu-098,易播网51ebo.com、eboR自助监播APP,OnPOS mini 2Kg以内    ,
nanqu-099,别样旅行网平台,OnPOS Handset 418g    ,
nanqu-100,iGallery电子画框,,
nanqu-101,"OnPOS（SE）/OnPOS（PSE）
智能收银一体机",,
nanqu-102,"OnPOS mini
迷你智能收银一体机",,用vr全景来系统展示四川的风景
nanqu-103,"OnPOS Handset
手持智能收银一体机",,用vr全景来系统展示四川的美食
nanqu-104,"OnKiosk Tower
立式自助收银一体机",,用vr全景来系统展示四川的茶文化
nanqu-105,"OnKiosk Tablet
桌面式自助收银机",,
nanqu-106,vrtrip(vr旅游频道),,
nanqu-107,vr美食频道,,
nanqu-108,vr茶叶频道,,
